timestamp,cfg_id,backtest_variant,cost_variant,n_trades,win_rate,avg_winner_bps,avg_loser_bps,total_return_pct,sharpe_daily,max_drawdown_pct
2026-05-13T16:39:02.644647+00:00,A2_tgt05_stp03_h60_slip5,top1_T0_ambigMid,cost_inst,621,0.3881,3.74,-3.18,-0.0306,-0.677,0.0366
2026-05-13T16:39:06.652312+00:00,B1_tgt075_stp04_h60_close,top1_T0,cost_inst,621,0.3591,5.19,-4.03,-0.0446,-0.862,0.0468
2026-05-13T16:39:06.652521+00:00,B1_tgt075_stp04_h60_close,top1_T0,cost_retail,621,0.3156,4.41,-5.13,-0.1315,-2.543,0.1313
2026-05-13T16:39:06.652664+00:00,B1_tgt075_stp04_h60_close,top1_T0.20,cost_inst,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T16:39:10.657139+00:00,C1_tgt10_stp05_h120_close,top1_T0,cost_inst,621,0.1208,2.99,-0.94,-0.0287,-0.922,0.0287
2026-05-13T16:39:10.657357+00:00,C1_tgt10_stp05_h120_close,top1_T0,cost_retail,621,0.0483,5.32,-2.23,-0.1156,-3.718,0.1154
2026-05-13T16:39:10.657509+00:00,C1_tgt10_stp05_h120_close,top1_T0.20,cost_inst,270,0.1444,1.04,-0.71,-0.0122,-2.037,0.0123
2026-05-13T16:39:14.662388+00:00,C2_tgt10_stp05_h120_slip5,top1_T0,cost_inst,621,0.0596,1.29,-0.63,-0.0323,-5.217,0.0322
2026-05-13T16:39:14.662625+00:00,C2_tgt10_stp05_h120_slip5,top1_T0,cost_retail,621,0.0113,3.01,-1.98,-0.1192,-19.271,0.1190
2026-05-13T16:39:14.662791+00:00,C2_tgt10_stp05_h120_slip5,top1_T0.20,cost_inst,5,0.2000,0.53,-0.24,-0.0000,-0.293,0.0001
2026-05-13T16:39:14.662926+00:00,C2_tgt10_stp05_h120_slip5,top1_T0.20,cost_retail,5,0.0000,0.00,-1.49,-0.0007,-2.162,0.0006
2026-05-13T16:43:22.482491+00:00,B1_tgt075_stp04_h60_close,top1_T0.20,cost_retail,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T16:43:40.984491+00:00,C1_tgt10_stp05_h120_close,top1_T0.20,cost_retail,270,0.0185,3.72,-1.96,-0.0500,-4.519,0.0498
2026-05-13T16:44:15.469398+00:00,A1_tgt05_stp03_h60_close,top1_T0_ambigMid,cost_retail,621,0.3205,2.74,-4.25,-0.1249,-2.520,0.1260
2026-05-13T16:44:20.085356+00:00,A2_tgt05_stp03_h60_slip5,top1_T0_ambigMid,cost_retail,621,0.3333,2.84,-4.26,-0.1176,-2.599,0.1174
2026-05-13T16:44:25.679065+00:00,C2_tgt10_stp05_h120_slip5,top3,cost_inst,1863,0.2120,5.09,-2.15,-0.1146,-0.791,0.1335
2026-05-13T16:48:21.447233+00:00,B1_tgt075_stp04_h60_close,top3,cost_inst,1863,0.3634,5.30,-3.99,-0.1143,-0.959,0.1279
2026-05-13T16:48:28.309492+00:00,C1_tgt10_stp05_h120_close,top3,cost_inst,1863,0.2244,5.43,-2.53,-0.1380,-0.824,0.1572
2026-05-13T16:48:58.467583+00:00,C2_tgt10_stp05_h120_slip5,top3,cost_retail,1863,0.1481,5.61,-3.34,-0.3754,-2.592,0.3752
2026-05-13T16:49:28.255380+00:00,A2_tgt05_stp03_h60_slip5,top3_ambigProp,cost_inst,1863,0.3908,3.80,-3.20,-0.0859,-0.692,0.1064
2026-05-13T16:49:30.760363+00:00,A1_tgt05_stp03_h60_close,top3_ambigProp,cost_inst,1863,0.3752,3.70,-3.22,-0.1161,-1.325,0.1271
2026-05-13T16:52:17.032043+00:00,C2_tgt10_stp05_h120_slip5,top1_T0_ambigProp,cost_inst,621,0.0596,1.29,-0.63,-0.0323,-5.217,0.0322
2026-05-13T16:53:25.182615+00:00,C1_tgt10_stp05_h120_close,top3,cost_retail,1863,0.1659,5.73,-3.71,-0.3988,-2.381,0.3986
2026-05-13T16:53:29.709336+00:00,B1_tgt075_stp04_h60_close,top3,cost_retail,1863,0.3162,4.59,-5.07,-0.3752,-3.148,0.3761
2026-05-13T16:55:10.995895+00:00,A2_tgt05_stp03_h60_slip5,top3_ambigProp,cost_retail,1863,0.3451,2.81,-4.33,-0.3467,-2.792,0.3462
2026-05-13T16:55:12.712037+00:00,A1_tgt05_stp03_h60_close,top3_ambigProp,cost_retail,1863,0.3242,2.78,-4.33,-0.3769,-4.304,0.3764
2026-05-13T16:55:47.369595+00:00,C2_tgt10_stp05_h120_slip5,top1_T0_ambigProp,cost_retail,621,0.0113,3.01,-1.98,-0.1192,-19.271,0.1190
2026-05-13T16:58:01.134527+00:00,C1_tgt10_stp05_h120_close,top1_T0_ambigProp,cost_inst,621,0.1208,2.99,-0.94,-0.0287,-0.922,0.0287
